,Player,Year,MVP,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
6,Ben Wallace,2004,0,29,DET,0.0,24.0,1230,0.02,81,37.7,9.5,12.4,1.7,1.8,3.0,0.42100000000000004,0.125,0.49,10.2,0.16
7,Jason Kidd,2004,0,30,NJN,0.0,17.0,1230,0.013999999999999999,67,36.6,15.5,6.4,9.2,1.8,0.2,0.384,0.321,0.8270000000000001,7.2,0.141
8,LeBron James,2004,0,19,CLE,0.0,11.0,1230,0.009000000000000001,79,39.5,20.9,5.5,5.9,1.6,0.7,0.41700000000000004,0.29,0.754,5.1,0.078
9,Sam Cassell,2004,0,34,MIN,0.0,4.0,1230,0.003,81,35.0,19.8,3.3,7.3,1.3,0.2,0.488,0.39799999999999996,0.873,12.1,0.205
0,Steve Nash,2005,1,30,PHO,65.0,1066.0,1270,0.8390000000000001,75,34.3,15.5,3.3,11.5,1.0,0.1,0.502,0.431,0.887,10.9,0.203
1,Shaquille O'Neal,2005,0,32,MIA,58.0,1032.0,1270,0.813,73,34.1,22.9,10.4,2.7,0.5,2.3,0.601,,0.461,11.0,0.21100000000000002
2,Dirk Nowitzki,2005,0,26,DAL,0.0,349.0,1270,0.275,78,38.7,26.1,9.7,3.1,1.2,1.5,0.45899999999999996,0.39899999999999997,0.8690000000000001,15.6,0.248
3,Tim Duncan,2005,0,28,SAS,1.0,328.0,1270,0.258,66,33.4,20.3,11.1,2.7,0.7,2.6,0.496,0.33299999999999996,0.67,11.2,0.245
4,Allen Iverson,2005,0,29,PHI,2.0,240.0,1270,0.18899999999999997,75,42.3,30.7,4.0,7.9,2.4,0.1,0.424,0.308,0.835,9.0,0.136
5,LeBron James,2005,0,20,CLE,0.0,93.0,1270,0.073,80,42.4,27.2,7.4,7.2,2.2,0.7,0.47200000000000003,0.35100000000000003,0.75,14.3,0.203
6,Tracy McGrady,2005,0,25,HOU,0.0,44.0,1270,0.035,78,40.8,25.7,6.2,5.7,1.7,0.7,0.431,0.326,0.774,12.0,0.18
7,Dwyane Wade,2005,0,23,MIA,0.0,43.0,1270,0.034,77,38.6,24.1,5.2,6.8,1.6,1.1,0.478,0.289,0.762,11.0,0.177
8,Amar'e Stoudemire,2005,0,22,PHO,1.0,41.0,1270,0.032,80,36.1,26.0,8.9,1.6,1.0,1.6,0.5589999999999999,0.188,0.733,14.6,0.243
9,Ray Allen,2005,0,29,SEA,0.0,41.0,1270,0.032,78,39.3,23.9,4.4,3.7,1.1,0.1,0.428,0.376,0.883,10.7,0.168
0,Steve Nash,2006,1,31,PHO,57.0,924.0,1250,0.7390000000000001,79,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.9209999999999999,12.4,0.212
1,LeBron James,2006,0,21,CLE,16.0,688.0,1250,0.55,79,42.5,31.4,7.0,6.6,1.6,0.8,0.48,0.335,0.738,16.3,0.23199999999999998
2,Dirk Nowitzki,2006,0,27,DAL,14.0,544.0,1250,0.435,81,38.1,26.6,9.0,2.8,0.7,1.0,0.48,0.406,0.9009999999999999,17.7,0.275
3,Kobe Bryant,2006,0,27,LAL,22.0,483.0,1250,0.386,80,41.0,35.4,5.3,4.5,1.8,0.4,0.45,0.34700000000000003,0.85,15.3,0.22399999999999998
4,Chauncey Billups,2006,0,29,DET,15.0,430.0,1250,0.344,81,36.1,18.5,3.1,8.6,0.9,0.1,0.418,0.433,0.894,15.5,0.254
5,Dwyane Wade,2006,0,24,MIA,0.0,87.0,1250,0.07,75,38.6,27.2,5.7,6.7,1.9,0.8,0.495,0.171,0.7829999999999999,14.4,0.239
6,Elton Brand,2006,0,26,LAC,1.0,50.0,1250,0.04,79,39.2,24.7,10.0,2.6,1.0,2.5,0.527,0.33299999999999996,0.775,14.8,0.22899999999999998
7,Tim Duncan,2006,0,29,SAS,0.0,33.0,1250,0.026000000000000002,80,34.8,18.6,11.0,3.2,0.9,2.0,0.484,0.4,0.629,10.8,0.187
8,Tony Parker,2006,0,23,SAS,0.0,9.0,1250,0.006999999999999999,80,33.9,18.9,3.3,5.8,1.0,0.1,0.5479999999999999,0.306,0.7070000000000001,9.6,0.16899999999999998
9,Allen Iverson,2006,0,30,PHI,0.0,1.0,1250,0.001,72,43.1,33.0,3.2,7.4,1.9,0.1,0.447,0.32299999999999995,0.8140000000000001,10.6,0.165
0,Dirk Nowitzki,2007,1,28,DAL,83.0,1138.0,1290,0.882,78,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.41600000000000004,0.904,16.3,0.278
1,Steve Nash,2007,0,32,PHO,44.0,1013.0,1290,0.785,76,35.3,18.6,3.5,11.6,0.8,0.1,0.532,0.455,0.899,12.6,0.225
2,Kobe Bryant,2007,0,28,LAL,2.0,521.0,1290,0.40399999999999997,77,40.8,31.6,5.7,5.4,1.4,0.5,0.46299999999999997,0.344,0.868,13.0,0.19899999999999998
3,Tim Duncan,2007,0,30,SAS,0.0,286.0,1290,0.222,80,34.1,20.0,10.6,3.4,0.8,2.4,0.546,0.111,0.637,13.0,0.23
4,LeBron James,2007,0,22,CLE,0.0,183.0,1290,0.142,78,40.9,27.3,6.7,6.0,1.6,0.7,0.47600000000000003,0.319,0.698,13.7,0.20600000000000002
5,Tracy McGrady,2007,0,27,HOU,0.0,110.0,1290,0.085,71,35.8,24.6,5.3,6.5,1.3,0.5,0.431,0.331,0.7070000000000001,8.6,0.163
6,Chris Bosh,2007,0,22,TOR,0.0,43.0,1290,0.033,69,38.5,22.6,10.7,2.5,0.6,1.3,0.496,0.34299999999999997,0.785,9.6,0.174
7,Gilbert Arenas,2007,0,25,WAS,0.0,31.0,1290,0.024,74,39.8,28.4,4.6,6.0,1.9,0.2,0.418,0.35100000000000003,0.8440000000000001,10.8,0.177
8,Carlos Boozer,2007,0,25,UTA,0.0,7.0,1290,0.005,74,34.6,20.9,11.7,3.0,0.9,0.3,0.561,,0.685,9.9,0.185
9,Kevin Garnett,2007,0,30,MIN,0.0,7.0,1290,0.005,76,39.4,22.4,12.8,4.1,1.2,1.7,0.47600000000000003,0.214,0.835,10.7,0.171
0,Kobe Bryant,2008,1,29,LAL,82.0,1100.0,1260,0.873,82,38.9,28.3,6.3,5.4,1.8,0.5,0.45899999999999996,0.361,0.84,13.8,0.20800000000000002
1,Chris Paul,2008,0,22,NOH,28.0,894.0,1260,0.71,80,37.6,21.1,4.0,11.6,2.7,0.1,0.488,0.369,0.851,17.8,0.284
2,Kevin Garnett,2008,0,31,BOS,15.0,670.0,1260,0.532,71,32.8,18.8,9.2,3.4,1.4,1.3,0.539,0.0,0.8009999999999999,12.9,0.265
3,LeBron James,2008,0,23,CLE,1.0,438.0,1260,0.348,75,40.4,30.0,7.9,7.2,1.8,1.1,0.484,0.315,0.7120000000000001,15.2,0.242
4,Dwight Howard,2008,0,22,ORL,0.0,60.0,1260,0.048,82,37.7,20.7,14.2,1.3,0.9,2.1,0.599,0.0,0.59,12.9,0.2
5,Amar'e Stoudemire,2008,0,25,PHO,0.0,27.0,1260,0.021,79,33.9,25.2,9.1,1.5,0.8,2.1,0.59,0.161,0.805,14.6,0.262
6,Tim Duncan,2008,0,31,SAS,0.0,25.0,1260,0.02,78,34.0,19.3,11.3,2.8,0.7,1.9,0.49700000000000005,0.0,0.73,11.1,0.201
7,Tracy McGrady,2008,0,28,HOU,0.0,19.0,1260,0.015,66,37.0,21.6,5.1,5.9,1.0,0.5,0.419,0.292,0.684,5.8,0.115
8,Steve Nash,2008,0,33,PHO,0.0,18.0,1260,0.013999999999999999,81,34.3,16.9,3.5,11.1,0.7,0.1,0.504,0.47,0.9059999999999999,10.5,0.18100000000000002
9,Manu Ginóbili,2008,0,30,SAS,0.0,9.0,1260,0.006999999999999999,74,31.1,19.5,4.8,4.5,1.5,0.4,0.46,0.401,0.86,11.1,0.23199999999999998
0,LeBron James,2009,1,24,CLE,109.0,1172.0,1210,0.9690000000000001,81,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3,0.318
1,Kobe Bryant,2009,0,30,LAL,2.0,698.0,1210,0.5770000000000001,82,36.1,26.8,5.2,4.9,1.5,0.5,0.467,0.35100000000000003,0.856,12.7,0.20600000000000002
2,Dwyane Wade,2009,0,27,MIA,7.0,680.0,1210,0.562,79,38.6,30.2,5.0,7.5,2.2,1.3,0.491,0.317,0.765,14.7,0.23199999999999998
3,Dwight Howard,2009,0,23,ORL,1.0,328.0,1210,0.271,79,35.7,20.6,13.8,1.4,1.0,2.9,0.5720000000000001,0.0,0.594,13.8,0.23399999999999999
4,Chris Paul,2009,0,23,NOH,2.0,192.0,1210,0.159,78,38.5,22.8,5.5,11.0,2.8,0.1,0.503,0.364,0.868,18.3,0.292
5,Chauncey Billups,2009,0,32,TOT,0.0,33.0,1210,0.027000000000000003,79,35.3,17.7,3.0,6.4,1.2,0.2,0.418,0.408,0.9129999999999999,10.1,0.174
6,Paul Pierce,2009,0,31,BOS,0.0,21.0,1210,0.017,81,37.5,20.5,5.6,3.6,1.0,0.3,0.457,0.391,0.83,10.3,0.16399999999999998
7,Tony Parker,2009,0,26,SAS,0.0,9.0,1210,0.006999999999999999,72,34.1,22.0,3.1,6.9,0.9,0.1,0.506,0.292,0.782,8.6,0.168
8,Brandon Roy,2009,0,24,POR,0.0,7.0,1210,0.006,78,37.2,22.6,4.7,5.1,1.1,0.3,0.48,0.377,0.8240000000000001,13.5,0.223
9,Dirk Nowitzki,2009,0,30,DAL,0.0,3.0,1210,0.002,81,37.7,25.9,8.4,2.4,0.8,0.8,0.479,0.359,0.89,10.9,0.171
0,LeBron James,2010,1,25,CLE,116.0,1205.0,1230,0.98,76,39.0,29.7,7.3,8.6,1.6,1.0,0.503,0.33299999999999996,0.767,18.5,0.299
1,Kevin Durant,2010,0,21,OKC,4.0,609.0,1230,0.495,82,39.5,30.1,7.6,2.8,1.4,1.0,0.47600000000000003,0.365,0.9,16.1,0.23800000000000002
2,Kobe Bryant,2010,0,31,LAL,0.0,599.0,1230,0.48700000000000004,73,38.8,27.0,5.4,5.0,1.5,0.3,0.456,0.32899999999999996,0.8109999999999999,9.4,0.16
3,Dwight Howard,2010,0,24,ORL,3.0,478.0,1230,0.389,82,34.7,18.3,13.2,1.8,0.9,2.8,0.612,0.0,0.5920000000000001,13.2,0.223
4,Dwyane Wade,2010,0,28,MIA,0.0,119.0,1230,0.09699999999999999,77,36.3,26.6,4.8,6.5,1.8,1.1,0.47600000000000003,0.3,0.7609999999999999,13.0,0.22399999999999998
5,Carmelo Anthony,2010,0,25,DEN,0.0,65.0,1230,0.053,69,38.2,28.2,6.6,3.2,1.3,0.4,0.45799999999999996,0.316,0.83,7.9,0.145
6,Dirk Nowitzki,2010,0,31,DAL,0.0,55.0,1230,0.045,81,37.5,25.0,7.7,2.7,0.9,1.0,0.48100000000000004,0.42100000000000004,0.915,12.3,0.19399999999999998
7,Steve Nash,2010,0,35,PHO,0.0,49.0,1230,0.04,81,32.8,16.5,3.3,11.0,0.5,0.1,0.507,0.426,0.938,9.9,0.17800000000000002
8,Deron Williams,2010,0,25,UTA,0.0,7.0,1230,0.006,76,36.9,18.7,4.0,10.5,1.3,0.2,0.469,0.371,0.8009999999999999,10.3,0.177
9,Amar'e Stoudemire,2010,0,27,PHO,0.0,5.0,1230,0.004,82,34.6,23.1,8.9,1.0,0.6,1.0,0.557,0.16699999999999998,0.7709999999999999,10.7,0.18100000000000002
0,Derrick Rose,2011,1,22,CHI,113.0,1182.0,1210,0.977,81,37.4,25.0,4.1,7.7,1.0,0.6,0.445,0.332,0.858,13.1,0.20800000000000002
1,Dwight Howard,2011,0,25,ORL,3.0,643.0,1210,0.531,78,37.6,22.9,14.1,1.4,1.4,2.4,0.593,0.0,0.596,14.4,0.235
2,LeBron James,2011,0,26,MIA,4.0,522.0,1210,0.431,79,38.8,26.7,7.5,7.0,1.6,0.6,0.51,0.33,0.759,15.6,0.244
3,Kobe Bryant,2011,0,32,LAL,1.0,428.0,1210,0.354,82,33.9,25.3,5.1,4.7,1.2,0.1,0.451,0.32299999999999995,0.828,10.3,0.17800000000000002
4,Kevin Durant,2011,0,22,OKC,0.0,190.0,1210,0.157,78,38.9,27.7,6.8,2.7,1.1,1.0,0.462,0.35,0.88,12.0,0.18899999999999997
5,Dirk Nowitzki,2011,0,32,DAL,0.0,113.0,1210,0.09300000000000001,73,34.3,23.0,7.0,2.6,0.5,0.6,0.517,0.39299999999999996,0.892,11.1,0.213
6,Dwyane Wade,2011,0,29,MIA,0.0,24.0,1210,0.02,76,37.1,25.5,6.4,4.6,1.5,1.1,0.5,0.306,0.758,12.8,0.218
7,Manu Ginóbili,2011,0,33,SAS,0.0,20.0,1210,0.017,80,30.3,17.4,3.7,4.9,1.5,0.4,0.433,0.349,0.871,9.9,0.195
8,Amar'e Stoudemire,2011,0,28,NYK,0.0,9.0,1210,0.006999999999999999,78,36.8,25.3,8.2,2.6,0.9,1.9,0.502,0.435,0.792,8.0,0.134
9,Blake Griffin,2011,0,21,LAC,0.0,5.0,1210,0.004,82,38.0,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152
0,LeBron James,2012,1,27,MIA,85.0,1074.0,1210,0.888,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.36200000000000004,0.7709999999999999,14.5,0.298
1,Kevin Durant,2012,0,23,OKC,24.0,889.0,1210,0.735,66,38.6,28.0,8.0,3.5,1.3,1.2,0.496,0.387,0.86,12.2,0.23
2,Chris Paul,2012,0,26,LAC,6.0,385.0,1210,0.318,60,36.4,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,12.7,0.278
3,Kobe Bryant,2012,0,33,LAL,2.0,352.0,1210,0.29100000000000004,58,38.5,27.9,5.4,4.6,1.2,0.3,0.43,0.303,0.845,6.2,0.132
4,Tony Parker,2012,0,29,SAS,4.0,331.0,1210,0.27399999999999997,60,32.1,18.3,2.9,7.7,1.0,0.1,0.48,0.23,0.799,7.1,0.177
5,Kevin Love,2012,0,23,MIN,0.0,58.0,1210,0.048,55,39.0,26.0,13.3,2.0,0.9,0.5,0.44799999999999995,0.37200000000000005,0.8240000000000001,10.0,0.223
6,Dwight Howard,2012,0,26,ORL,0.0,13.0,1210,0.011000000000000001,54,38.3,20.6,14.5,1.9,1.5,2.1,0.573,0.0,0.491,7.7,0.179
7,Rajon Rondo,2012,0,25,BOS,0.0,12.0,1210,0.01,53,36.9,11.9,4.8,11.7,1.8,0.1,0.44799999999999995,0.23800000000000002,0.597,4.9,0.121
8,Steve Nash,2012,0,37,PHO,0.0,7.0,1210,0.006,62,31.6,12.5,3.0,10.7,0.6,0.1,0.532,0.39,0.894,5.9,0.14400000000000002
9,Dwyane Wade,2012,0,30,MIA,0.0,6.0,1210,0.005,49,33.2,22.1,4.8,4.6,1.7,1.3,0.49700000000000005,0.268,0.7909999999999999,7.7,0.22699999999999998
0,LeBron James,2013,1,28,MIA,120.0,1207.0,1210,0.998,76,37.9,26.8,8.0,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322
1,Kevin Durant,2013,0,24,OKC,0.0,765.0,1210,0.632,81,38.5,28.1,7.9,4.6,1.4,1.3,0.51,0.41600000000000004,0.905,18.9,0.29100000000000004
2,Carmelo Anthony,2013,0,28,NYK,1.0,475.0,1210,0.39299999999999996,67,37.0,28.7,6.9,2.6,0.8,0.5,0.449,0.379,0.83,9.5,0.184
3,Chris Paul,2013,0,27,LAC,0.0,289.0,1210,0.239,70,33.4,16.9,3.7,9.7,2.4,0.1,0.48100000000000004,0.32799999999999996,0.885,13.9,0.287
4,Kobe Bryant,2013,0,34,LAL,0.0,184.0,1210,0.152,78,38.6,27.3,5.6,6.0,1.4,0.3,0.46299999999999997,0.324,0.8390000000000001,10.9,0.174
5,Tony Parker,2013,0,30,SAS,0.0,86.0,1210,0.071,66,32.9,20.3,3.0,7.6,0.8,0.1,0.522,0.353,0.845,9.3,0.20600000000000002
6,Tim Duncan,2013,0,36,SAS,0.0,65.0,1210,0.054000000000000006,69,30.1,17.8,9.9,2.7,0.7,2.7,0.502,0.28600000000000003,0.8170000000000001,8.3,0.191
7,James Harden,2013,0,23,HOU,0.0,33.0,1210,0.027000000000000003,78,38.3,25.9,4.9,5.8,1.8,0.5,0.43799999999999994,0.368,0.851,12.8,0.20600000000000002
8,Russell Westbrook,2013,0,24,OKC,0.0,9.0,1210,0.006999999999999999,82,34.9,23.2,5.2,7.4,1.8,0.3,0.43799999999999994,0.32299999999999995,0.8,11.6,0.195
9,Dwyane Wade,2013,0,31,MIA,0.0,5.0,1210,0.004,69,34.7,21.2,5.0,5.1,1.9,0.8,0.521,0.258,0.725,9.6,0.192
0,Kevin Durant,2014,1,25,OKC,119.0,1232.0,1250,0.986,81,38.5,32.0,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295
1,LeBron James,2014,0,29,MIA,6.0,891.0,1250,0.713,77,37.7,27.1,6.9,6.3,1.6,0.3,0.5670000000000001,0.379,0.75,15.9,0.264
2,Blake Griffin,2014,0,24,LAC,0.0,434.0,1250,0.34700000000000003,80,35.8,24.1,9.5,3.9,1.2,0.6,0.528,0.273,0.715,12.2,0.205
3,Joakim Noah,2014,0,28,CHI,0.0,322.0,1250,0.258,80,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0.0,0.737,11.2,0.19
4,James Harden,2014,0,24,HOU,0.0,85.0,1250,0.068,73,38.0,25.4,4.7,6.1,1.6,0.4,0.456,0.366,0.866,12.8,0.221
5,Stephen Curry,2014,0,25,GSW,0.0,66.0,1250,0.053,78,36.5,24.0,4.3,8.5,1.6,0.2,0.47100000000000003,0.424,0.885,13.4,0.225
6,Chris Paul,2014,0,28,LAC,0.0,45.0,1250,0.036000000000000004,62,35.0,19.1,4.3,10.7,2.5,0.1,0.467,0.368,0.855,12.2,0.27
7,Al Jefferson,2014,0,29,CHA,0.0,34.0,1250,0.027000000000000003,73,35.0,21.8,10.8,2.1,0.9,1.1,0.509,0.2,0.69,7.8,0.146
8,Paul George,2014,0,23,IND,0.0,33.0,1250,0.026000000000000002,80,36.2,21.7,6.8,3.5,1.9,0.3,0.424,0.364,0.8640000000000001,10.8,0.17800000000000002
9,LaMarcus Aldridge,2014,0,28,POR,0.0,26.0,1250,0.021,69,36.2,23.2,11.1,2.6,0.9,1.0,0.45799999999999996,0.2,0.8220000000000001,7.5,0.14400000000000002
0,Stephen Curry,2015,1,26,GSW,100.0,1198.0,1300,0.922,80,32.7,23.8,4.3,7.7,2.0,0.2,0.48700000000000004,0.44299999999999995,0.914,15.7,0.28800000000000003
1,James Harden,2015,0,25,HOU,25.0,936.0,1300,0.72,81,36.8,27.4,5.7,7.0,1.9,0.7,0.44,0.375,0.868,16.4,0.265
2,LeBron James,2015,0,30,CLE,5.0,552.0,1300,0.425,69,36.1,25.3,6.0,7.4,1.6,0.7,0.488,0.354,0.71,10.4,0.19899999999999998
3,Russell Westbrook,2015,0,26,OKC,0.0,352.0,1300,0.271,67,34.4,28.1,7.3,8.6,2.1,0.2,0.426,0.299,0.835,10.6,0.222
4,Anthony Davis,2015,0,21,NOP,0.0,203.0,1300,0.156,68,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,14.0,0.27399999999999997
5,Chris Paul,2015,0,29,LAC,0.0,124.0,1300,0.095,82,34.8,19.1,4.6,10.2,1.9,0.2,0.485,0.39799999999999996,0.9,16.1,0.27
6,LaMarcus Aldridge,2015,0,29,POR,0.0,6.0,1300,0.005,71,35.4,23.4,10.2,1.7,0.7,1.0,0.466,0.35200000000000004,0.845,8.6,0.165
7,Marc Gasol,2015,0,30,MEM,0.0,3.0,1300,0.002,81,33.2,17.4,7.8,3.8,0.9,1.6,0.494,0.17600000000000002,0.795,10.2,0.182
8,Blake Griffin,2015,0,25,LAC,0.0,3.0,1300,0.002,67,35.2,21.9,7.6,5.3,0.9,0.5,0.502,0.4,0.728,9.0,0.183
9,Tim Duncan,2015,0,38,SAS,0.0,1.0,1300,0.001,77,28.9,13.9,9.1,3.0,0.8,2.0,0.512,0.28600000000000003,0.74,9.6,0.207
0,Stephen Curry,2016,1,27,GSW,131.0,1310.0,1310,1.0,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.45399999999999996,0.9079999999999999,17.9,0.318
1,Kawhi Leonard,2016,0,24,SAS,0.0,634.0,1310,0.484,72,33.1,21.2,6.8,2.6,1.8,1.0,0.506,0.44299999999999995,0.8740000000000001,13.7,0.27699999999999997
2,LeBron James,2016,0,31,CLE,0.0,631.0,1310,0.48200000000000004,76,35.6,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,13.6,0.242
3,Russell Westbrook,2016,0,27,OKC,0.0,486.0,1310,0.371,80,34.4,23.5,7.8,10.4,2.0,0.3,0.45399999999999996,0.29600000000000004,0.812,14.0,0.245
4,Kevin Durant,2016,0,27,OKC,0.0,147.0,1310,0.11199999999999999,72,35.8,28.2,8.2,5.0,1.0,1.2,0.505,0.387,0.898,14.5,0.27
5,Chris Paul,2016,0,30,LAC,0.0,107.0,1310,0.08199999999999999,74,32.7,19.5,4.2,10.0,2.1,0.2,0.462,0.371,0.8959999999999999,12.7,0.253
6,Draymond Green,2016,0,25,GSW,0.0,50.0,1310,0.038,81,34.7,14.0,9.5,7.4,1.5,1.4,0.49,0.38799999999999996,0.696,11.1,0.19
7,Damian Lillard,2016,0,25,POR,0.0,26.0,1310,0.02,75,35.7,25.1,4.0,6.8,0.9,0.4,0.419,0.375,0.892,9.2,0.165
8,James Harden,2016,0,26,HOU,0.0,9.0,1310,0.006999999999999999,82,38.1,29.0,6.1,7.5,1.7,0.6,0.439,0.359,0.86,13.3,0.204
9,Kyle Lowry,2016,0,29,TOR,0.0,6.0,1310,0.005,77,37.0,21.2,4.7,6.4,2.1,0.4,0.42700000000000005,0.38799999999999996,0.8109999999999999,11.6,0.196
0,Russell Westbrook,2017,1,28,OKC,69.0,888.0,1010,0.879,81,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.34299999999999997,0.845,13.1,0.22399999999999998
1,James Harden,2017,0,27,HOU,22.0,753.0,1010,0.746,81,36.4,29.1,8.1,11.2,1.5,0.5,0.44,0.34700000000000003,0.847,15.0,0.245
2,Kawhi Leonard,2017,0,25,SAS,9.0,500.0,1010,0.495,74,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,0.264
3,LeBron James,2017,0,32,CLE,1.0,333.0,1010,0.33,74,37.8,26.4,8.6,8.7,1.2,0.6,0.5479999999999999,0.363,0.674,12.9,0.221
4,Isaiah Thomas,2017,0,27,BOS,0.0,81.0,1010,0.08,76,33.8,28.9,2.7,5.9,0.9,0.2,0.46299999999999997,0.379,0.909,12.5,0.23399999999999999
5,Stephen Curry,2017,0,28,GSW,0.0,52.0,1010,0.051,79,33.4,25.3,4.5,6.6,1.8,0.2,0.46799999999999997,0.41100000000000003,0.898,12.6,0.22899999999999998
6,Giannis Antetokounmpo,2017,0,22,MIL,0.0,7.0,1010,0.006999999999999999,80,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,0.21
7,John Wall,2017,0,26,WAS,0.0,7.0,1010,0.006999999999999999,78,36.4,23.1,4.2,10.7,2.0,0.6,0.451,0.327,0.8009999999999999,8.8,0.149
8,Anthony Davis,2017,0,23,NOP,0.0,2.0,1010,0.002,75,36.1,28.0,11.8,2.1,1.3,2.2,0.505,0.299,0.802,11.0,0.195
9,Kevin Durant,2017,0,28,GSW,0.0,2.0,1010,0.002,62,33.4,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875,12.0,0.278
0,James Harden,2018,1,28,HOU,86.0,965.0,1010,0.955,72,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.36700000000000005,0.858,15.4,0.289
1,LeBron James,2018,0,33,CLE,15.0,738.0,1010,0.731,82,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.36700000000000005,0.731,14.0,0.221
2,Anthony Davis,2018,0,24,NOP,0.0,445.0,1010,0.441,75,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,0.24100000000000002
3,Damian Lillard,2018,0,27,POR,0.0,207.0,1010,0.205,73,36.6,26.9,4.5,6.6,1.1,0.4,0.439,0.361,0.9159999999999999,12.6,0.22699999999999998
4,Russell Westbrook,2018,0,29,OKC,0.0,76.0,1010,0.075,80,36.4,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,10.1,0.166
5,Giannis Antetokounmpo,2018,0,23,MIL,0.0,75.0,1010,0.07400000000000001,75,36.7,26.9,10.0,4.8,1.5,1.4,0.529,0.307,0.76,11.9,0.207
6,Kevin Durant,2018,0,29,GSW,0.0,66.0,1010,0.065,68,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4,0.215
7,DeMar DeRozan,2018,0,28,TOR,0.0,32.0,1010,0.032,80,33.9,23.0,3.9,5.2,1.1,0.3,0.456,0.31,0.825,9.6,0.17
8,LaMarcus Aldridge,2018,0,32,SAS,0.0,6.0,1010,0.006,75,33.5,23.1,8.5,2.0,0.6,1.2,0.51,0.293,0.8370000000000001,10.9,0.209
9,Jimmy Butler,2018,0,28,MIN,0.0,5.0,1010,0.005,59,36.7,22.2,5.3,4.9,2.0,0.4,0.474,0.35,0.8540000000000001,8.9,0.198
0,Giannis Antetokounmpo,2019,1,24,MIL,78.0,941.0,1010,0.932,72,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.7290000000000001,14.4,0.292
1,James Harden,2019,0,29,HOU,23.0,776.0,1010,0.768,78,36.8,36.1,6.6,7.5,2.0,0.7,0.442,0.368,0.879,15.2,0.254
2,Paul George,2019,0,28,OKC,0.0,356.0,1010,0.35200000000000004,77,36.9,28.0,8.2,4.1,2.2,0.4,0.43799999999999994,0.386,0.8390000000000001,11.9,0.201
3,Nikola Jokić,2019,0,23,DEN,0.0,212.0,1010,0.21,80,31.3,20.1,10.8,7.3,1.4,0.7,0.511,0.307,0.821,11.8,0.226
4,Stephen Curry,2019,0,30,GSW,0.0,175.0,1010,0.17300000000000001,69,33.8,27.3,5.3,5.2,1.3,0.4,0.47200000000000003,0.43700000000000006,0.9159999999999999,9.7,0.19899999999999998
5,Damian Lillard,2019,0,28,POR,0.0,69.0,1010,0.068,80,35.5,25.8,4.6,6.9,1.1,0.4,0.444,0.369,0.912,12.1,0.205
6,Joel Embiid,2019,0,24,PHI,0.0,49.0,1010,0.049,64,33.7,27.5,13.6,3.7,0.7,1.9,0.484,0.3,0.804,8.7,0.19399999999999998
7,Kevin Durant,2019,0,30,GSW,0.0,25.0,1010,0.025,78,34.6,26.0,6.4,5.9,0.7,1.1,0.521,0.353,0.885,11.5,0.204
8,Kawhi Leonard,2019,0,27,TOR,0.0,13.0,1010,0.013000000000000001,60,34.0,26.6,7.3,3.3,1.8,0.4,0.496,0.371,0.8540000000000001,9.5,0.22399999999999998
9,Russell Westbrook,2019,0,30,OKC,0.0,8.0,1010,0.008,73,36.0,22.9,11.1,10.7,1.9,0.5,0.428,0.29,0.6559999999999999,6.8,0.124
