,Player,Pos,Age,Tm,G,TOT_MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
126,Gary Clark,PF,25.0,ORL,17.0,213,8.8,.490,.833,.048,7.8,15.1,11.3,1.9,0.7,3.0,6.5,9.3,0.1,0.2,0.3,.070,-2.7,-1.3,-3.9,-0.1
127,Brandon Clarke,PF,23.0,MEM,50.0,1086,21.8,.670,.127,.228,7.7,20.3,14.1,10.1,1.1,3.3,9.3,19.0,3.1,1.3,4.4,.192,2.8,0.7,3.5,1.5
128,Jordan Clarkson,SG,27.0,TOT,63.0,1527,17.9,.583,.469,.193,3.5,8.5,6.0,13.4,1.4,0.8,9.1,25.5,2.6,0.9,3.5,.110,2.7,-1.1,1.6,1.4
129,Jordan Clarkson,SG,27.0,CLE,29.0,666,18.6,.581,.488,.264,3.5,8.1,5.8,17.0,1.2,1.0,9.7,25.9,1.4,0.1,1.5,.108,4.1,-1.4,2.7,0.8
130,Jordan Clarkson,SG,27.0,UTA,34.0,861,17.4,.584,.454,.138,3.5,8.8,6.2,10.5,1.5,0.7,8.7,25.3,1.2,0.8,2.0,.112,1.6,-0.9,0.7,0.6
131,Nicolas Claxton,PF,20.0,BRK,15.0,187,14.9,.577,.146,.438,10.7,13.4,12.1,12.6,0.3,3.5,13.6,14.8,0.3,0.2,0.5,.124,-0.7,0.0,-0.7,0.1
133,Chris Clemons,SG,22.0,HOU,29.0,251,12.6,.546,.746,.056,1.2,8.4,4.8,13.5,1.1,1.7,11.6,24.0,0.1,0.2,0.2,.046,0.4,-1.7,-1.3,0.1
134,Antonius Cleveland,SG,25.0,DAL,6.0,22,2.9,.363,.167,.333,0.0,14.0,7.1,0.0,2.2,3.9,12.7,15.3,-0.1,0.0,0.0,-0.074,-8.9,0.7,-8.3,0.0
135,Amir Coffey,SG,22.0,LAC,13.0,98,5.9,.408,.212,.091,4.3,10.3,7.4,12.6,0.5,0.9,8.0,15.8,-0.1,0.1,0.0,.009,-5.7,-1.1,-6.8,-0.1
136,John Collins,PF,22.0,ATL,41.0,1363,23.5,.659,.243,.248,9.0,24.0,16.4,7.6,1.1,4.1,10.1,22.7,3.8,1.1,4.9,.174,3.7,-0.7,3.1,1.7
137,Zach Collins,PF,22.0,POR,3.0,86,9.0,.624,.368,.316,4.9,9.5,7.2,9.1,0.0,2.0,21.7,13.6,0.1,0.0,0.1,.045,-1.1,-0.7,-1.7,0.0
138,Mike Conley,PG,32.0,UTA,41.0,1171,13.7,.527,.438,.241,2.7,9.5,6.2,22.8,1.3,0.3,12.4,23.0,1.0,1.0,2.1,.085,0.4,-0.4,0.0,0.6
139,Pat Connaughton,SG,27.0,MIL,61.0,1119,11.2,.558,.525,.138,5.3,16.9,11.4,10.6,0.8,2.3,14.5,11.9,0.9,2.1,3.0,.130,-1.1,1.6,0.5,0.7
140,Quinn Cook,PG,26.0,LAL,38.0,409,10.5,.517,.382,.052,1.9,8.6,5.3,13.9,1.3,0.2,12.4,20.8,-0.1,0.4,0.4,.043,-2.3,-1.0,-3.3,-0.1
141,Tyler Cook,PF,22.0,CLE,11.0,35,23.8,.752,.000,.600,12.6,19.2,15.9,4.5,1.4,0.0,7.3,16.7,0.2,0.0,0.2,.244,3.0,-0.6,2.4,0.0
142,Robert Covington,PF,29.0,TOT,62.0,1867,13.6,.571,.654,.167,3.0,19.9,11.2,5.8,2.4,3.6,11.8,17.4,0.9,2.4,3.3,.085,-1.0,1.1,0.1,1.0
143,Robert Covington,PF,29.0,MIN,48.0,1411,13.5,.572,.629,.190,2.6,19.5,10.7,5.9,2.6,2.6,12.0,17.8,0.5,1.7,2.3,.078,-1.2,1.2,0.0,0.7
144,Robert Covington,PF,29.0,HOU,14.0,456,14.1,.566,.737,.092,4.1,21.3,12.7,5.5,1.5,6.6,11.2,16.1,0.3,0.7,1.0,.108,-0.3,0.8,0.5,0.3
145,Allen Crabbe,SG,27.0,TOT,37.0,653,6.0,.470,.672,.079,1.8,11.0,6.3,6.8,1.1,0.5,8.5,12.7,-0.2,0.1,-0.1,-0.007,-3.7,-1.5,-5.3,-0.5
146,Allen Crabbe,SG,27.0,ATL,28.0,522,7.2,.482,.650,.084,2.0,11.5,6.7,7.3,1.3,0.6,7.5,12.7,0.0,0.1,0.1,.008,-3.0,-1.1,-4.1,-0.3
147,Allen Crabbe,SG,27.0,MIN,9.0,131,1.1,.416,.765,.059,0.8,9.2,4.8,5.1,0.0,0.0,12.5,12.5,-0.2,0.0,-0.2,-0.068,-6.6,-3.2,-9.9,-0.3
148,Torrey Craig,SF,29.0,DEN,50.0,869,10.4,.559,.524,.149,6.1,13.8,10.0,5.2,1.0,3.4,9.0,12.2,0.8,0.9,1.7,.095,-2.4,0.1,-2.3,-0.1
149,Jae Crowder,SF,29.0,TOT,58.0,1695,12.1,.532,.692,.236,3.1,18.7,11.1,11.7,1.9,1.1,9.9,15.6,1.2,2.0,3.2,.090,-0.9,0.3,-0.6,0.6
150,Jae Crowder,SF,29.0,MEM,45.0,1322,11.0,.507,.667,.238,3.2,18.4,11.0,12.2,1.7,0.9,10.9,15.6,0.5,1.4,1.9,.068,-1.4,0.1,-1.2,0.3
151,Jae Crowder,SF,29.0,MIA,13.0,373,16.0,.618,.781,.228,2.5,19.6,11.4,10.3,2.6,1.9,6.0,15.8,0.7,0.6,1.3,.168,0.7,1.1,1.8,0.4
152,Jarrett Culver,SG,20.0,MIN,63.0,1506,9.6,.467,.388,.206,4.7,10.3,7.4,10.8,1.8,2.1,11.5,19.2,-1.2,1.1,-0.1,-0.004,-3.2,-0.8,-4.0,-0.8
153,Seth Curry,SG,29.0,DAL,59.0,1448,16.2,.650,.564,.165,1.9,8.0,5.0,12.1,1.2,0.5,9.5,18.6,3.4,0.9,4.3,.144,2.0,-0.7,1.4,1.2
154,Stephen Curry,PG,31.0,GSW,5.0,139,21.7,.557,.598,.317,3.0,17.8,10.1,42.3,1.7,1.3,14.6,33.6,0.2,0.1,0.3,.104,4.5,-0.6,3.9,0.2
155,Troy Daniels,SG,28.0,TOT,42.0,457,8.9,.524,.711,.101,2.9,7.9,5.5,4.1,0.8,0.6,5.1,16.2,0.2,0.4,0.7,.070,-1.2,-1.0,-2.2,0.0
156,Troy Daniels,SG,28.0,LAL,41.0,456,9.0,.527,.709,.101,2.9,7.9,5.5,4.1,0.8,0.6,5.2,16.1,0.3,0.4,0.7,.072,-1.1,-1.0,-2.1,0.0
157,Troy Daniels,SG,28.0,DEN,1.0,1,-40.8,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.4,0.0,0.0,0.0,-1.036,-38.4,-22.8,-61.2,0.0
158,Anthony Davis,PF,26.0,LAL,55.0,1889,28.2,.614,.195,.460,7.3,22.1,14.9,14.6,2.1,6.2,10.1,29.7,6.2,4.1,10.3,.262,5.8,2.8,8.5,5.0
159,Ed Davis,C,30.0,UTA,25.0,268,7.3,.425,.000,.324,12.4,25.8,19.4,3.8,1.8,2.8,25.1,8.5,-0.1,0.5,0.4,.074,-5.5,1.7,-3.9,-0.1
160,Terence Davis,SG,22.0,TOR,64.0,1087,14.5,.598,.568,.133,4.6,16.3,10.5,14.6,1.4,1.1,13.6,18.9,1.4,1.6,3.0,.133,0.7,0.6,1.3,0.9
162,Dewayne Dedmon,C,30.0,TOT,44.0,774,9.4,.473,.420,.141,8.5,27.7,17.9,4.1,1.5,4.8,17.4,18.2,-1.0,1.1,0.1,.006,-5.8,0.0,-5.8,-0.7
163,Dewayne Dedmon,C,30.0,SAC,34.0,541,8.5,.477,.415,.164,9.3,25.9,17.4,3.9,1.4,4.6,20.4,18.6,-0.8,0.7,-0.1,-0.005,-6.3,-0.1,-6.4,-0.6
164,Dewayne Dedmon,C,30.0,ATL,10.0,233,11.4,.463,.429,.095,6.4,31.8,18.9,4.3,2.0,5.4,10.3,17.4,-0.2,0.3,0.2,.032,-4.5,0.1,-4.4,-0.1
165,Matthew Dellavedova,PG,29.0,CLE,57.0,821,8.1,.463,.520,.211,2.4,7.8,5.1,29.0,1.2,0.2,23.6,13.0,0.1,0.1,0.2,.010,-3.6,-1.6,-5.2,-0.7
166,DeMar DeRozan,SF,30.0,SAS,61.0,2091,21.3,.597,.031,.419,2.0,15.7,8.9,26.0,1.4,0.6,11.5,26.6,5.1,1.1,6.2,.143,2.1,-0.5,1.6,1.9
167,Cheick Diallo,C,23.0,PHO,44.0,467,16.3,.688,.015,.270,6.5,24.1,15.1,7.2,1.0,2.3,16.4,16.7,0.8,0.5,1.3,.129,-1.1,-0.3,-1.4,0.1
168,Hamidou Diallo,SF,21.0,OKC,38.0,699,8.4,.488,.160,.205,4.8,14.3,9.7,4.5,2.0,1.0,13.4,17.4,-0.6,0.8,0.2,.014,-5.0,0.3,-4.8,-0.5
169,Gorgui Dieng,C,30.0,TOT,58.0,1012,17.4,.564,.414,.242,8.8,26.5,17.5,10.3,2.2,4.6,12.7,17.7,1.1,1.6,2.7,.128,0.0,1.8,1.8,0.9
170,Gorgui Dieng,C,30.0,MIN,46.0,778,17.8,.563,.433,.213,9.5,25.8,17.4,11.1,2.2,4.5,12.7,18.4,1.0,1.1,2.1,.129,0.3,1.5,1.8,0.7
171,Gorgui Dieng,C,30.0,MEM,12.0,234,16.2,.568,.333,.364,6.4,29.0,17.9,7.5,2.2,5.2,12.6,15.6,0.2,0.4,0.6,.128,-1.2,2.9,1.7,0.2
172,Spencer Dinwiddie,SG,26.0,BRK,64.0,1994,17.9,.541,.392,.437,1.7,9.5,5.7,35.6,1.0,0.9,12.5,29.2,3.4,1.7,5.1,.123,2.6,-0.8,1.7,1.9
173,Donte DiVincenzo,SG,23.0,MIL,59.0,1362,15.0,.570,.489,.173,4.6,15.7,10.5,13.3,2.7,1.2,12.9,16.9,1.4,3.1,4.5,.158,-0.6,2.7,2.1,1.4
174,Luka Dončić,PG,20.0,DAL,54.0,1799,27.7,.584,.442,.442,4.1,24.7,14.6,45.3,1.6,0.5,14.6,37.0,5.8,2.3,8.1,.215,7.3,1.1,8.4,4.7
175,Luguentz Dort,SG,20.0,OKC,29.0,637,7.3,.521,.465,.229,2.7,6.6,4.7,4.5,1.8,0.3,8.0,13.0,0.2,0.5,0.7,.052,-4.3,0.4,-3.9,-0.3
176,Damyean Dotson,SG,25.0,NYK,48.0,836,10.9,.527,.562,.114,1.2,10.6,5.8,10.0,1.3,0.5,6.5,16.5,0.6,0.3,0.9,.053,-0.9,-0.5,-1.4,0.1
177,Sekou Doumbouya,SF,19.0,DET,38.0,754,6.2,.474,.415,.195,3.0,14.9,8.9,3.6,1.3,0.9,12.0,16.9,-0.8,0.5,-0.3,-0.020,-5.2,-1.5,-6.7,-0.9
178,PJ Dozier,PG,23.0,DEN,21.0,234,9.3,.449,.308,.121,2.4,11.9,7.1,17.5,1.5,2.0,10.3,19.8,-0.1,0.2,0.1,.019,-4.4,-0.8,-5.2,-0.2
179,Goran Dragić,PG,33.0,MIA,54.0,1531,15.9,.571,.472,.333,2.0,9.9,6.1,28.6,1.0,0.5,14.9,25.7,2.0,1.1,3.0,.095,1.4,-1.9,-0.5,0.6
180,Andre Drummond,C,26.0,TOT,57.0,1879,22.0,.553,.045,.375,14.9,37.5,26.0,13.6,2.8,4.2,18.2,25.9,0.7,3.6,4.3,.109,-0.1,1.1,1.0,1.4
181,Andre Drummond,C,26.0,DET,49.0,1654,22.1,.550,.031,.376,15.3,38.2,26.6,14.0,2.9,4.2,18.0,25.5,0.7,3.3,4.0,.116,0.0,1.2,1.1,1.3
182,Andre Drummond,C,26.0,CLE,8.0,225,21.1,.573,.133,.371,11.7,32.4,22.0,10.8,2.6,4.2,19.2,28.7,-0.1,0.3,0.3,.054,-0.8,0.4,-0.5,0.1
183,Jared Dudley,SF,34.0,LAL,40.0,311,7.4,.570,.680,.040,1.8,13.0,7.5,7.4,1.8,0.8,10.5,7.7,0.2,0.4,0.7,.103,-2.7,2.0,-0.7,0.1
184,Kris Dunn,PG,25.0,CHI,51.0,1269,12.1,.510,.327,.158,1.9,14.9,8.1,19.4,3.8,1.3,15.7,14.6,0.3,2.0,2.3,.085,-3.7,3.1,-0.6,0.4
185,Carsen Edwards,SG,21.0,BOS,35.0,316,6.5,.446,.602,.115,2.1,12.4,7.3,9.5,1.5,0.9,11.2,18.1,-0.3,0.4,0.1,.012,-4.6,-0.3,-4.9,-0.2
186,Henry Ellenson,PF,23.0,BRK,5.0,15,-1.2,.143,.571,.000,14.1,26.8,20.6,8.8,0.0,0.0,0.0,19.5,-0.1,0.0,-0.1,-0.180,-7.9,-3.1,-11.0,0.0
187,Wayne Ellington,SG,32.0,NYK,36.0,558,8.5,.509,.822,.075,0.7,12.0,6.2,11.0,1.1,0.7,9.1,15.0,0.2,0.2,0.4,.035,-1.9,-1.0,-2.8,-0.1
189,Joel Embiid,C,25.0,PHI,44.0,1329,26.0,.593,.230,.545,10.1,33.1,21.6,17.3,1.4,3.7,13.4,32.6,3.2,2.4,5.6,.203,4.1,1.2,5.2,2.4
190,James Ennis,SF,29.0,TOT,61.0,1053,11.5,.557,.473,.265,6.3,14.5,10.4,7.2,1.3,1.6,11.6,15.2,0.9,1.2,2.1,.096,-2.1,-0.3,-2.5,-0.1
191,James Ennis,SF,29.0,PHI,49.0,776,12.3,.564,.469,.270,6.8,14.5,10.7,7.4,1.4,1.5,10.9,15.8,0.8,0.9,1.8,.109,-1.6,0.0,-1.6,0.1
192,James Ennis,SF,29.0,ORL,12.0,277,9.4,.537,.485,.250,4.9,14.4,9.5,6.6,1.1,2.0,13.7,13.7,0.1,0.3,0.3,.060,-3.7,-1.3,-5.0,-0.2
193,Drew Eubanks,PF,22.0,SAS,14.0,130,15.3,.776,.036,.393,6.6,22.4,14.5,5.5,0.7,4.1,23.3,14.3,0.2,0.1,0.3,.120,-2.6,-1.0,-3.7,-0.1
194,Jacob Evans,SG,22.0,TOT,29.0,418,5.5,.436,.291,.216,2.3,8.6,5.3,10.8,1.3,2.6,14.6,17.5,-0.7,0.2,-0.5,-0.056,-5.7,-1.3,-7.0,-0.5
195,Jacob Evans,SG,22.0,GSW,27.0,414,5.7,.439,.286,.218,2.3,8.7,5.4,10.9,1.3,2.6,14.6,17.6,-0.6,0.2,-0.5,-0.054,-5.7,-1.3,-7.0,-0.5
196,Jacob Evans,SG,22.0,MIN,2.0,4,-9.6,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,0.0,0.0,0.0,-0.264,-10.4,-5.6,-16.0,0.0
197,Dante Exum,SG,24.0,TOT,35.0,485,10.4,.576,.361,.361,2.8,12.6,7.7,11.5,1.3,1.4,18.4,15.0,0.2,0.2,0.4,.043,-2.5,-0.4,-2.9,-0.1
198,Dante Exum,SG,24.0,UTA,11.0,83,4.8,.503,.261,.087,4.2,11.4,7.9,11.8,0.6,2.0,29.5,17.9,-0.2,0.1,-0.1,-0.054,-5.1,-0.5,-5.6,-0.1
199,Dante Exum,SG,24.0,CLE,24.0,402,11.5,.592,.385,.427,2.5,12.8,7.6,11.4,1.5,1.3,15.6,14.4,0.4,0.2,0.5,.063,-1.9,-0.4,-2.3,0.0
200,Tacko Fall,C,24.0,BOS,6.0,24,23.9,.713,.000,.250,0.0,48.7,24.6,0.0,0.0,7.7,18.4,29.0,0.0,0.1,0.1,.102,-2.0,3.1,1.0,0.0
201,Derrick Favors,C,28.0,NOP,45.0,1089,19.0,.624,.023,.203,14.1,29.0,21.5,9.8,1.1,3.4,13.3,14.4,2.4,1.4,3.8,.168,0.8,0.4,1.2,0.9
202,Cristiano Felício,PF,27.0,CHI,22.0,386,12.8,.671,.037,.426,15.0,14.1,14.6,5.7,1.2,0.5,21.9,9.1,0.7,0.3,1.0,.126,-1.4,-1.6,-3.0,-0.1
203,Terrance Ferguson,SF,21.0,OKC,50.0,1170,4.1,.504,.779,.095,2.3,4.6,3.5,5.0,1.1,1.2,12.6,9.0,-0.1,0.8,0.7,.027,-4.5,0.3,-4.1,-0.6
204,Bruno Fernando,C,21.0,ATL,56.0,713,11.9,.542,.186,.256,10.0,20.0,15.0,9.9,1.2,2.0,15.9,15.3,0.4,0.4,0.8,.055,-3.2,-1.0,-4.1,-0.4
205,Yogi Ferrell,PG,26.0,SAC,44.0,484,10.7,.499,.408,.219,1.4,10.0,5.6,17.6,1.4,0.8,11.9,18.9,0.1,0.3,0.4,.036,-2.1,-0.4,-2.5,-0.1
206,Dorian Finney-Smith,PF,26.0,DAL,64.0,1898,12.2,.597,.580,.212,7.0,12.3,9.7,6.8,1.1,1.7,11.2,12.7,2.9,1.6,4.5,.114,0.0,-0.1,-0.2,0.9
207,Bryn Forbes,SG,26.0,SAS,63.0,1579,11.2,.570,.656,.155,0.8,7.8,4.3,9.6,1.0,0.0,8.4,18.6,1.2,0.2,1.5,.045,-0.6,-2.1,-2.7,-0.3
208,Evan Fournier,SG,27.0,ORL,61.0,1931,16.7,.599,.467,.236,0.9,8.1,4.4,16.5,1.8,0.7,11.1,24.2,2.7,1.7,4.4,.110,1.5,-0.3,1.2,1.6
209,De'Aaron Fox,PG,22.0,SAC,45.0,1426,20.3,.556,.221,.442,2.3,12.3,7.2,35.4,2.2,1.5,14.6,29.6,2.1,1.3,3.5,.117,2.1,-0.3,1.8,1.4
210,Melvin Frazier,SG,23.0,ORL,15.0,51,7.5,.480,.412,.235,2.0,6.5,4.2,2.8,3.8,3.5,13.8,18.5,-0.1,0.1,0.0,.003,-6.0,1.5,-4.5,0.0
211,Michael Frazier,SG,25.0,HOU,8.0,66,2.4,.513,.727,.545,1.6,3.2,2.4,1.9,1.4,0.0,12.8,9.8,0.0,0.0,0.0,.016,-7.9,-0.9,-8.8,-0.1
212,Tim Frazier,PG,29.0,DET,27.0,355,9.8,.464,.319,.255,2.8,7.8,5.3,36.5,1.9,0.9,25.6,17.3,-0.1,0.2,0.1,.016,-2.9,-1.6,-4.5,-0.2
213,Markelle Fultz,PG,21.0,ORL,64.0,1813,14.4,.523,.175,.209,2.0,10.9,6.3,28.8,2.2,0.5,15.1,20.7,0.8,1.9,2.7,.071,-1.9,0.2,-1.7,0.1
214,Wenyen Gabriel,PF,22.0,TOT,28.0,210,9.6,.547,.435,.435,9.1,14.0,11.6,5.0,2.3,2.5,22.6,14.5,0.0,0.2,0.2,.043,-3.9,0.0,-3.9,-0.1
215,Wenyen Gabriel,PF,22.0,SAC,11.0,61,7.5,.444,.471,.588,7.2,11.4,9.2,6.7,2.4,3.1,18.9,18.9,-0.1,0.1,0.0,-0.027,-4.4,0.5,-3.9,0.0
216,Wenyen Gabriel,PF,22.0,POR,17.0,149,10.5,.614,.414,.345,9.9,15.1,12.5,4.3,2.2,2.3,24.8,12.6,0.1,0.1,0.2,.072,-3.7,-0.2,-3.9,-0.1
218,Daniel Gafford,C,21.0,CHI,43.0,609,16.2,.686,.000,.448,9.0,10.3,9.6,5.2,1.0,8.7,15.3,13.3,1.1,0.8,1.8,.146,-2.8,1.5,-1.3,0.1
219,Danilo Gallinari,PF,31.0,OKC,55.0,1690,19.4,.611,.538,.352,2.2,17.1,9.9,10.5,1.2,0.2,7.5,24.4,4.1,1.6,5.7,.163,4.1,-0.9,3.2,2.2
220,Langston Galloway,SG,28.0,DET,66.0,1702,12.3,.584,.611,.157,2.2,7.8,5.0,8.8,1.4,0.5,6.5,15.9,2.4,0.7,3.1,.087,0.1,-0.9,-0.8,0.5
221,Darius Garland,PG,20.0,CLE,59.0,1824,8.5,.498,.423,.103,1.6,5.2,3.4,18.5,1.1,0.2,17.1,20.7,-1.3,0.0,-1.3,-0.035,-2.7,-2.9,-5.6,-1.7
222,Marc Gasol,C,35.0,TOR,36.0,990,11.9,.546,.538,.153,3.2,20.8,12.2,16.9,1.3,3.2,14.6,12.7,0.9,1.8,2.7,.128,-0.9,2.7,1.8,0.9
223,Rudy Gay,PF,33.0,SAS,60.0,1287,14.4,.545,.369,.225,4.7,22.3,13.5,11.3,1.0,1.9,12.4,21.3,0.6,0.9,1.5,.054,-0.5,-1.0,-1.5,0.2
224,Paul George,SF,29.0,LAC,42.0,1222,20.5,.582,.494,.277,1.9,18.1,10.2,21.2,2.2,1.4,13.0,29.6,1.9,2.0,3.9,.153,3.4,1.1,4.5,2.0
225,Taj Gibson,C,34.0,NYK,62.0,1025,16.1,.610,.049,.196,11.2,16.7,13.9,7.6,1.3,2.8,13.1,14.8,1.8,0.8,2.6,.120,-0.7,-0.4,-1.1,0.2
226,Harry Giles,PF,21.0,SAC,38.0,579,16.3,.586,.000,.208,6.3,25.2,15.5,13.4,1.8,2.3,13.4,19.6,0.7,0.7,1.4,.120,-2.2,1.1,-1.1,0.1
227,Shai Gilgeous-Alexander,SG,21.0,OKC,63.0,2214,17.8,.566,.237,.339,2.3,16.4,9.6,14.8,1.5,1.7,9.8,23.7,2.9,2.6,5.5,.120,1.4,0.2,1.6,2.0
228,Rudy Gobert,C,27.0,UTA,62.0,2142,21.7,.700,.000,.725,11.3,31.3,21.8,6.5,1.1,4.8,15.2,16.1,6.0,4.0,10.0,.225,1.8,1.9,3.7,3.1
229,Brandon Goodwin,PG,24.0,ATL,34.0,430,11.7,.507,.458,.158,2.7,15.5,9.0,18.0,1.3,0.8,12.5,22.4,-0.1,0.2,0.1,.013,-1.5,-1.3,-2.9,-0.1
230,Aaron Gordon,PF,24.0,ORL,58.0,1914,14.8,.511,.311,.280,5.6,19.6,12.4,17.2,1.3,1.7,10.3,20.6,1.2,2.2,3.3,.084,-0.3,0.1,-0.3,0.8
231,Eric Gordon,SG,31.0,HOU,34.0,972,10.5,.511,.658,.235,0.9,6.2,3.5,7.8,1.1,1.1,6.9,22.1,0.2,0.5,0.7,.037,-1.6,-2.0,-3.6,-0.4
232,Devonte' Graham,PG,24.0,CHO,63.0,2211,15.8,.537,.607,.242,2.0,8.7,5.2,35.3,1.4,0.6,14.5,24.8,2.5,0.9,3.4,.073,2.6,-2.1,0.5,1.4
233,Treveon Graham,SG,26.0,TOT,55.0,929,6.6,.456,.496,.231,5.7,11.7,8.6,6.6,1.2,0.5,9.8,13.1,-0.2,0.4,0.2,.009,-4.5,-1.1,-5.5,-0.8
234,Treveon Graham,SG,26.0,MIN,33.0,663,6.0,.447,.474,.211,4.5,11.7,8.0,6.1,1.2,0.3,9.0,13.1,-0.2,0.3,0.0,.003,-5.0,-0.8,-5.8,-0.6
235,Treveon Graham,SG,26.0,ATL,22.0,266,8.0,.478,.552,.284,8.8,11.5,10.1,7.6,1.2,1.3,11.7,13.3,0.0,0.1,0.1,.022,-3.2,-1.7,-4.9,-0.2
236,Jerami Grant,PF,25.0,DEN,64.0,1676,14.2,.585,.394,.308,3.5,11.6,7.5,6.7,1.3,2.9,8.0,17.8,2.4,1.7,4.0,.116,-0.1,-0.4,-0.4,0.7
237,Josh Gray,PG,26.0,NOP,2.0,23,-5.0,.500,.000,.000,4.6,4.6,4.6,10.4,0.0,0.0,71.4,12.4,-0.1,0.0,-0.1,-0.224,-11.3,-4.7,-16.0,-0.1
238,Danny Green,SG,32.0,LAL,61.0,1529,11.1,.564,.704,.104,3.2,11.3,7.3,7.3,2.4,1.7,10.8,13.8,1.1,2.4,3.4,.108,-0.8,1.7,0.9,1.1
239,Draymond Green,PF,29.0,GSW,43.0,1222,12.6,.489,.408,.263,2.0,22.3,11.8,31.2,2.3,2.4,21.8,15.7,-0.2,1.3,1.1,.044,-2.0,1.9,-0.2,0.6
241,JaMychal Green,PF,29.0,LAC,55.0,1130,10.8,.554,.675,.146,7.0,24.3,15.9,5.1,1.0,1.6,12.3,13.5,0.8,1.8,2.6,.111,-1.4,0.6,-0.8,0.3
242,Javonte Green,SF,26.0,BOS,44.0,414,12.3,.558,.235,.367,4.7,15.9,10.4,7.6,2.7,1.6,13.7,13.6,0.3,0.7,1.0,.112,-2.4,1.8,-0.6,0.1
243,Jeff Green,PF,33.0,TOT,40.0,754,12.8,.575,.529,.280,3.4,12.5,8.1,6.2,1.3,1.7,10.9,18.9,0.6,0.8,1.4,.089,-0.4,0.0,-0.5,0.3
244,Jeff Green,PF,33.0,UTA,30.0,553,10.1,.523,.533,.323,2.9,12.7,8.0,5.2,1.1,1.5,10.8,19.8,0.0,0.6,0.6,.048,-1.8,-0.2,-2.0,0.0
245,Jeff Green,PF,33.0,HOU,10.0,201,20.0,.739,.515,.152,4.7,12.1,8.3,9.2,2.1,2.1,11.3,16.3,0.6,0.2,0.8,.201,3.5,0.4,3.9,0.3
246,Blake Griffin,PF,30.0,DET,18.0,512,11.9,.476,.444,.392,3.7,15.0,9.3,18.0,0.7,1.1,12.0,28.4,-0.4,0.2,-0.1,-0.012,-1.7,-2.6,-4.2,-0.3
247,Marko Guduric,SG,24.0,MEM,42.0,476,8.8,.515,.526,.162,3.1,12.3,7.8,12.4,1.2,1.5,17.9,17.6,-0.2,0.4,0.1,.012,-2.6,-0.8,-3.4,-0.2
248,Kyle Guy,SG,22.0,SAC,2.0,4,9.8,.500,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.8,0.0,0.0,0.0,-0.022,-1.3,-2.8,-4.1,0.0
249,Rui Hachimura,PF,21.0,WAS,41.0,1217,13.9,.543,.160,.243,5.5,17.4,11.2,8.3,1.3,0.5,7.5,18.7,1.3,0.4,1.7,.066,-1.1,-1.9,-3.0,-0.3
250,Devon Hall,SG,24.0,OKC,5.0,20,3.6,.370,.400,.800,0.0,5.4,2.8,19.1,0.0,0.0,12.9,17.1,0.0,0.0,0.0,-0.064,-6.2,-3.6,-9.7,0.0
251,Donta Hall,PF,22.0,DET,4.0,48,7.3,.452,.000,1.500,14.0,21.6,17.7,5.3,1.0,1.7,23.1,7.9,0.0,0.0,0.1,.067,-5.6,-1.4,-7.1,-0.1
252,Dusty Hannahs,SG,26.0,MEM,2.0,13,21.3,.607,.333,.222,0.0,7.9,4.0,0.0,0.0,0.0,0.0,31.6,0.0,0.0,0.0,.146,5.2,-2.1,3.1,0.0
253,Tim Hardaway Jr.,SG,27.0,DAL,63.0,1815,15.0,.581,.574,.191,1.4,9.9,5.7,10.2,1.0,0.2,6.6,21.7,3.1,1.1,4.2,.111,1.5,-1.2,0.4,1.1
254,James Harden,SG,30.0,HOU,61.0,2241,28.4,.616,.555,.519,3.0,15.3,9.1,34.4,2.2,2.0,13.8,36.4,8.7,2.7,11.5,.245,7.9,1.2,9.0,6.3
255,Maurice Harkless,SF,26.0,TOT,62.0,1427,9.7,.572,.346,.233,4.1,13.3,8.7,6.3,1.9,2.0,14.5,10.7,0.8,1.9,2.7,.090,-2.6,1.9,-0.8,0.5
256,Maurice Harkless,SF,26.0,LAC,50.0,1141,9.6,.584,.336,.194,4.4,13.5,9.0,5.5,2.0,2.3,16.3,10.3,0.5,1.7,2.3,.096,-2.5,2.4,-0.1,0.6
257,Maurice Harkless,SF,26.0,NYK,12.0,286,10.1,.536,.379,.364,2.9,12.3,7.5,9.7,1.5,1.0,8.4,12.4,0.3,0.2,0.4,.069,-3.1,-0.3,-3.5,-0.1
258,Jared Harper,PG,22.0,PHO,3.0,8,-5.3,.250,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.3,0.0,0.0,0.0,-0.253,-10.2,-5.7,-15.8,0.0
259,Montrezl Harrell,C,26.0,LAC,63.0,1749,23.1,.607,.022,.432,9.9,16.2,13.1,10.3,1.1,3.6,10.1,25.5,4.5,2.5,7.0,.193,2.4,0.5,2.9,2.2
260,Gary Harris,SG,25.0,DEN,56.0,1780,9.7,.519,.405,.177,1.6,8.6,5.1,8.9,2.1,0.7,9.7,15.1,0.5,1.7,2.2,.059,-2.8,0.4,-2.4,-0.2
