,Player,Pos,Age,Tm,G,TOT_MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
26,Mo Bamba,C,21.0,ORL,60.0,868,17.8,.549,.369,.163,11.7,25.7,18.5,7.3,1.2,8.9,12.2,17.2,0.9,1.7,2.5,.140,-1.1,1.7,0.5,0.6
27,J.J. Barea,PG,35.0,DAL,26.0,391,14.9,.519,.425,.101,2.7,10.0,6.4,37.7,0.5,0.4,15.8,24.3,0.5,0.2,0.7,.084,1.8,-2.7,-1.0,0.1
28,Harrison Barnes,PF,27.0,SAC,64.0,2231,13.3,.575,.342,.343,3.0,12.7,7.7,9.9,0.8,0.4,8.9,17.6,3.1,1.1,4.2,.091,0.0,-1.2,-1.2,0.5
29,RJ Barrett,SG,19.0,NYK,56.0,1704,10.7,.479,.271,.349,3.0,14.8,8.7,12.8,1.6,0.9,12.9,24.0,-1.6,1.1,-0.5,-0.015,-2.8,-1.5,-4.3,-1.0
30,Will Barton,SF,29.0,DEN,58.0,1916,15.7,.549,.390,.180,4.4,16.8,10.6,16.0,1.6,1.4,9.9,20.0,2.4,2.1,4.5,.113,1.2,-0.1,1.2,1.5
31,Keita Bates-Diop,SF,24.0,TOT,39.0,665,12.6,.541,.452,.332,3.2,15.0,8.9,6.5,1.2,2.6,5.5,15.6,0.6,0.5,1.1,.081,-0.8,-0.1,-0.8,0.2
32,Keita Bates-Diop,SF,24.0,MIN,37.0,646,12.5,.535,.456,.316,3.3,15.1,9.0,6.7,1.2,2.6,5.6,15.8,0.6,0.5,1.0,.076,-0.8,-0.1,-0.9,0.2
33,Keita Bates-Diop,SF,24.0,DEN,2.0,19,15.8,.931,.000,2.000,0.0,11.7,5.9,0.0,0.0,4.8,0.0,8.6,0.1,0.0,0.1,.218,0.0,0.1,0.0,0.0
34,Nicolas Batum,SF,31.0,CHO,22.0,505,9.2,.463,.605,.123,5.2,16.8,10.8,18.3,1.7,1.5,20.5,9.4,0.2,0.4,0.6,.055,-2.7,0.9,-1.9,0.0
35,Aron Baynes,C,33.0,PHO,42.0,934,15.1,.581,.441,.197,8.3,20.2,14.1,11.0,0.5,2.2,10.8,21.1,1.3,0.7,2.0,.103,-0.2,-0.9,-1.1,0.2
36,Kent Bazemore,SF-SG,30.0,TOT,64.0,1604,9.2,.500,.461,.287,1.6,16.9,9.2,7.1,2.1,2.1,13.2,17.2,-0.8,1.5,0.7,.020,-3.4,0.4,-3.0,-0.4
37,Kent Bazemore,SF,30.0,POR,43.0,1111,7.6,.475,.525,.221,1.2,14.6,8.0,7.2,1.9,2.4,14.4,16.0,-1.0,0.9,-0.1,-0.005,-3.6,0.4,-3.2,-0.3
38,Kent Bazemore,SG,30.0,SAC,21.0,493,13.0,.543,.337,.414,2.5,22.1,12.0,7.1,2.5,1.6,11.1,19.9,0.2,0.6,0.8,.077,-3.0,0.4,-2.6,-0.1
39,Darius Bazley,PF,19.0,OKC,53.0,909,8.1,.475,.435,.204,2.7,20.7,12.0,4.3,1.1,3.3,13.8,14.1,-0.8,1.2,0.4,.019,-3.1,0.6,-2.5,-0.1
40,Bradley Beal,SG,26.0,WAS,57.0,2053,23.1,.579,.369,.351,2.7,10.6,6.5,29.1,1.6,1.0,11.4,34.4,4.6,0.5,5.1,.119,5.3,-2.4,2.9,2.5
41,Malik Beasley,SG,23.0,TOT,55.0,1209,12.7,.546,.517,.124,1.6,11.9,6.6,9.4,1.6,0.6,9.2,21.8,0.4,0.9,1.3,.053,-0.7,-1.3,-2.0,0.0
42,Malik Beasley,SG,23.0,DEN,41.0,746,10.5,.511,.535,.126,1.3,10.1,5.7,9.1,2.1,0.7,10.2,20.6,-0.2,0.7,0.6,.037,-2.2,-0.6,-2.8,-0.2
43,Malik Beasley,SG,23.0,MIN,14.0,463,16.2,.591,.494,.120,2.0,14.7,8.1,9.8,0.9,0.4,7.9,23.7,0.6,0.2,0.8,.079,1.8,-2.4,-0.6,0.2
